परिशुद्ध एल्कोहॉल	Absolute Alcohol
परमताप	Absolute temperature
परमशून्य	Absolute zero
अवशोषण	Absorption
त्वरण	Acceleration
ग्राही	Acceptor
संचायक	Accumulator
इंगिता	Achiral
अम्लमिति	Acidimetry
सक्रियण ऊर्जा	Activation energy
सक्रिय संहति	Active mass
सक्रियता	Activity
सक्रिय गुणांक	Activity coefficient
अचक्रीय	Acyclic
संकलन अभिक्रिया	Addition reaction
संकलन बहुलन	Addition polymerization
योगोत्पाद	Adduct
रूद्धोष्म	Adiabatic
अधिशोषण	Adsorption
वतिलयन,प्रश्लिष	Aerosol
बंधुत्व	Affinity
स्निग्ध	Aliphatic
अपररूपता	Anisotropy
मि‌‌‌‌‌‌‌‌‌‌‌श्रातु	Alloy
फिटकरी	Alum
पारदधातु मिश्रण	Amalgam
अक्रिस्टलीय	Amorphous
उभयप्रोटिक	Amphiprotic
उभयधर्मी	Amphoteric
उपपाचन	Anabolism
विश्लेषण	Analysis
ॠणायन	Anion
विषमदैशिकता	Anisotropy
अनिलिन	Annealing
धनाग्र	Anode
धनाग्रीकरण	Anodizing
प्रति-आबंधन कक्षक	Antibonding orbital
अपस्फोटरोधी कर्मक	Antiknock agent
ऐक्वारेजिया	Aqua regia
जलीय	Aqueous
ऐरोमैटिक यौगिक	Aromatic compound
ऐरोमैटिकता	Aromaticity
आर्सेनिक, शंखिया	Arsenic
वायुमंडलीय प्रश्लिष	Atmospheric aerosol
परमाणु	Atom
परमाण्विकता	Atomicity
परमाणु-क्रमांक	Atomic number
परमाणु-भार	Atomic weight
परमाणु कक्षक	Atomic orbital
स्थिरक्वाथी	Azeotrope
स्तम्भ वर्णक्रम	Bar spectrum
क्षार	Base
आधार धातु	Base metal
क्षारीय	Basic
गण प्रक्रम	Batch process
द्वि-आणुक	Bimolecular
जैव रसायन	Bio-chemistry
जैव निम्नीकरणीय	Biodegradable
जैव संश्लेषण	Biosynthesis
बिटूमेन	Bitumen
द्विसंयोजक	Bivalent
वात्या भट्टी	Blast furnace
ब्लैंड	Blende
विरंजक चूरा	Bleaching powder
बंध, आबन्ध, बन्धन	Bond
बंधन ‌ऊर्जा	Bond energy
क्वथनांक	Boiling point
पीतल	Brass
बफ़र	Buffer
उपोत्पाद	By-product
निस्तापन	Calcination
कार्बन-ॠणायन	Carbanion
कार्बोहाइड्रेट्स	Carbohydrates
कार्बोनेटीकरण	Carbonation
कार्बन दिनांकन	Carbon dating
कैंसरजन	Carcinogen
कार्नो चक्र	Carnot cycle
ढलवाँ लोहा	Cast iron
अपचय	Catabolism
उत्प्रेरक	Catalyst
शृंखलन	Catination
ऋणाग्र	Cathode
धनायन	Cation
दाहक सोडा	Caustic soda
अपकेंद्रित्र	Centrifuge
भृत्तका शिल्प	Ceramics
शृंखला अभिक्रिया	Chain reaction
लकड़ी का कोयला, चारकोल	Charcoal
कीलेट	Chelate
रासायनिक बंध	Chemical bond
रासायनिक स्फुरदीप्ति	Chemiluminescence
कीरेलिटी	Chirality
क्लोरीनीकरण	Chlorination
वर्णलेखन	Chromatography
जालकवत	Clathrate
चिकनी मिट्टी	Clays
विदलन	Cleavage
स्कंदन	Coagulation
सहएंजाइम	Coenzyme
मुद्राधातु	Coinage metals
कोक	Coke
अपुसंख्य गुणधर्म	Colligative properties
समांतरित	Collimator
कोलाइड	Colloid
स्तंभ वर्णलेखन	Column chromatography
दहन	Combustion
संकर	Complex
घटक	Component
यौगिक	Compound
सान्द्रण	Concentration
संघनन	Condensation
चालक बहुलक	Conducting polymer
चालकतामूलक अनुमापन	Conductomeric titration
विन्यास	Configuration
संपुष्टि	Conformation
संयुग्मी (अम्ल/क्षार)	Conjugate(Acid/Base)
संर‍‌‌‌क्षण	Conservation
सतत वर्णक्रम	Continuous spectrum
उपसहसंयोजी बंध	Coordinate bond
समन्वय संख्या	Coordination number
सहबहुलीकरण	Copolymerization
संक्षारण	Corrosion
युग्मन	Coupling
सहसंयोजी आबंध	Covalent bond
सहसंयोजी त्रिज्या	Covalent radius
चटकना	Cracking
भंजन	Cracking of oil
क्रांतिक बिन्दु	Critical point
आड़ी कड़ी	Cross linkage
कच्चा तेल	Crude oil
क्रिस्टल, क्रिस्टलीय,रवेदार	Crystal/Crystalline
क्रिस्टल वि‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ज्ञान	Crystallography
क्यूपेलीकरण	Cupellation
चक्रीय यौगिक	Cyclic compound
चक्रीकरण	Cyclisation
साइक्लोहेक्सेन	Cyclohexane
निष्क्रियकरण	Dectivation
अपघटन	Decomposition
चटक भंजन,कड़कड़न,कड़कड़ाहट	Decripitation
दोष, त्रुटि, क्षति, कमी	Defect
अपभ्रष्ट होना	Degenerate
निम्नीकरण, तलावचन, अवकर्षण	Degradation
स्वातंत्र्य कोटि, स्वतंत्रता की कोटि	Degree of freedom
निर्जलीकरण	Dehydration
प्रस्वेदी	Deliquescent
अस्थानीकरण	Delocalization
विकृतिकरण, गुणनाशन	Denaturation
घनत्व	Density
विध्रुवक	Depolaenizer
विध्रुवन	Depolarization
हिमांक अवनमन	Depression of freezing point
जलशुष्कन	Desiccation
भंजक आसवन	Destructive distillation
अपमार्जक	Detergents
ड्यूटरित यौगिक	Deuterated compound
विकर्ण सबंध	Diagonal relationship
प्रतिचुंबकत्व	Diamagnetism
द्विपरमाणुक	Diatomic
डाइएजोरीकरण	Diazotization
विसरण	Diffusion
तनु	Dilute
द्वितय	Dimer
द्विरूपता	Dimorphism
द्विध्रुव आघूर्ण	Dipole moment
डाइसैकेराइड	Disaccharides
परिक्षेपित प्रावस्था	Dispersed phase
असमानुपातन	Disproportionation
वियोजन	Dissociation
दाता	Donor
मादन, अपमिश्रण	Doping
द्वि-आबंध	Double bond
द्वि-लोन	Double salt
शुष्क कोश	Dry cell
रंजक	Dye
दक्षता	Efficiency
उत्फुल्लन	Efflorescence
प्रत्यास्थलक	Elastomer
विद्युतरासायनिक तुल्यांक	Electrochemical equivalent
विद्युतरासायनिक श्रेणी	Electrochemical series
विद्युतरासायनिकी	Electro chemistry
विद्युदग्र	Electrode
विद्युदग्र स्थिति	Electrode position
विद्युदग्र विभव	Electrode potential
विद्युत-अपघटन	Electrolysis
विद्युत-अपघट्य	Electrolyte
विद्युदणु बन्धुता	Electron affinity
विद्युदणु विवर्तन	Electron diffraction
विद्युतॠणात्मक, ॠणविद्युती	Electro negativity
इलेक्ट्रानिक संक्रमण	Electronic transition
विद्युदणु युग्म	Electron pair
विद्युदणु-स्नेही	Electrophilic
विद्युदणुस्नेही योग	Electrophilic addition
विद्युदणुस्नेही प्रतिस्थापन	Electrophilic substitution
विद्युत-लेपन	Electroplating
वैद्युतसंयोजक बंध	Electrovalent bond
तत्व	Element
निराकरण क्रियाएँ	Elimination reaction
क्षालन	Elution
उत्सर्जन स्पेक्ट्रम	Emission reaction
मूलानुपाती सूत्र	Empirical formula
पायस, इमल्शन	Emulsion
प्रतिबिंब	Enantiomer
उत्क्रम्यरूपिता	Enantiotropy
ऊष्माशोषी	Endothermic
अंत बिंदु	End point
ऊर्जा	Energy
ऊर्जा-स्तर	Energy level
ऊर्जा-परिच्छेदिका	Energy profile
एन्जाइम	Enzyme
एपीमेरिसम	Epimerism
इपॉक्साइड	Epoxide
साम्यावस्था	Equilibrium
तुल्यांकी भार	Equivalent weight
एस्टरीकरण	Esterification
गलनक्रांतिक	Eutectic
वाष्पीकरण	Evaporation
उत्तेजित अवस्था	Excited state
अपवर्जन सिद्धान्त	Exclusion principle
ऊष्माक्षेपी	Exothermic
विस्फोटिक	Explosive
किण्वन	Fermentation
फिल्टर, निस्यंदक	Filter
फिल्टरन, निस्यंदन	Filtration
सूक्ष्म संरचना	Fine structure
स्फुर प्रकाशी अपघटन	Flash photolysis
स्फुरांक	Flash point
तरलन, तरलीभवन	Fluidization
प्रतिदीप्ती	Fluorescence
