instruction,hi_err,hi_corr
Write the Hindi script preserving the pronunciation:,khushboo,खुशबू
"Given the Hinglish word, provide its Hindi equivalent:",khushbuu,खुशबू
This is a transliteration task. Convert Hinglish to Hindi script:,khushbu,खुशबू
Convert the following text into Hindi script:,khusbhu,खुशबू
Convert this sentence from Hinglish phonetic text to Hindi:,tera,तेरा
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,teraa,तेरा
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,thera,तेरा
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,teraaa,तेरा
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,badan,बदन
Uccharan ko banaye rakhte hue Hindi lipi likhein:,sulgeh,सुलगे
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,sulage,सुलगे
Nimnlikhit paath ko Hindi lipi mein badlein:,sulge,सुलगे
Yeh ek lipyantaran kaarya hai. Hinglish ko Hindi lipi mein parivartit karein:,mehke,महके
Write the Hindi script preserving the pronunciation:,mahake,महके
"Given the Hinglish word, provide its Hindi equivalent:",mehake,महके
This is a transliteration task. Convert Hinglish to Hindi script:,maheke,महके
Convert the following text into Hindi script:,pighale,पिघले
Convert this sentence from Hinglish phonetic text to Hindi:,pighle,पिघले
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,dehke,दहके
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,dahake,दहके
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,behke,बहके
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,baheke,बहके
Uccharan ko banaye rakhte hue Hindi lipi likhein:,bahake,बहके
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,behake,बहके
Nimnlikhit paath ko Hindi lipi mein badlein:,bahke,बहके
Yeh ek lipyantaran kaarya hai. Hinglish ko Hindi lipi mein parivartit karein:,mera,मेरा
Write the Hindi script preserving the pronunciation:,meraa,मेरा
"Given the Hinglish word, provide its Hindi equivalent:",meraaa,मेरा
This is a transliteration task. Convert Hinglish to Hindi script:,chali,चली
Convert the following text into Hindi script:,chalii,चली
Convert this sentence from Hinglish phonetic text to Hindi:,challi,चली
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,chale,चली
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,hawaa,हवा
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,hawa,हवा
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,hava,हवा
Uccharan ko banaye rakhte hue Hindi lipi likhein:,havaa,हवा
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,ke,के
Nimnlikhit paath ko Hindi lipi mein badlein:,kee,के
Yeh ek lipyantaran kaarya hai. Hinglish ko Hindi lipi mein parivartit karein:,kaee,के
Write the Hindi script preserving the pronunciation:,koee,के
"Given the Hinglish word, provide its Hindi equivalent:",kie,के
This is a transliteration task. Convert Hinglish to Hindi script:,khe,के
Convert the following text into Hindi script:,que,के
Convert this sentence from Hinglish phonetic text to Hindi:,koe,के
