instruction,hi_err,hi_corr
Identify and correct the mistake in the provided Hindi sentence:,उसकी सौन्दर्यता अनुपम है।, उसका सौंदर्य अनुपम है।
Fix the grammar error in the given Hindi sentence:,उसकी कल पधारने की कृपा कीजिए।, कृपया कल पधारें।
Make corrections to the grammar of the following Hindi sentence:,एक कविता की पुस्तक लाना।, कविता की एक पुस्तक लाना।
Correct the given sentence:,उसे धैर्यता से काम लेना चाहिए।, उसे धैर्य से काम लेना चाहिए।
Identify any grammatical issues in the sentence and fix them:,वहाँ अनेकों लोग एकत्र थे।, वहाँ अनेक लोग एकत्र थे।
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,राम की दृष्टि बड़ी पतली है।, राम की दृष्टि बड़ी सूक्ष्म है।
हिंदी वाक्य में मौजूद गलती को ठीक करें।,मेरे को कविता याद करनी है।, मुझे कविता याद करनी है।
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,अमित ने झूठ कही थी।, अमित ने झूठ कहा था।
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,वह बाजार में पुस्तक लेने गया।, वह बाजार से पुस्तक लेने गया।
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,वह मुझको तालिकाबद्ध सूची देता गया।, वह मुझको तालिकाबद्ध सूची देता गया।
Diye gaye sentence mein grammar ki galti ko theek karo:,इस मुद्दे के ऊपर बहस जरूरी है।, इस मुद्दे पर बहस जरूरी है।
Hindi sentence ke errors ko identify karke correct karo:,मानव ईश्वर की सबसे सुंदरतम रचना है।, मानव ईश्वर की सुंदरतम रचना है।
Grammar mistake ko correct karo jo sentence mein hai:,दिल्ली में देखने योग्य अनेक दर्शनीय स्थान हैं।, दिल्ली में अनेक दर्शनीय स्थान हैं।
Hindi sentence ka grammar sahi karo:,मैंने शिमला जाना है।, मुझे शिमला जाना है।
"Jo bhi error hai Hindi sentence mein, usse fix karo:",कृपया गंदगी मत कीजिए।, कृपया गंदगी न कीजिए।
Identify and correct the mistake in the provided Hindi sentence:,वे पुराने कपड़े के व्यापारी हैं।, वे कपड़े के पुराने व्यापारी हैं।
Fix the grammar error in the given Hindi sentence:,हमारे वाला मकान खाली है।, हमारा मकान खाली है।
Make corrections to the grammar of the following Hindi sentence:,माँ दही जमा रही है।, माँ दूध जमा रही है।
Correct the given sentence:,वह अपना दिस्तान गया है।, वह अपने दिस्तान गया है।
Identify any grammatical issues in the sentence and fix them:,मैं आपको नमस्कार करता हूँ।, मैं आपको नमस्कार करता हूँ।
