instruction,input,output
Answer the given question based on the provided information.,"विश्वविद्यालय पवित्र क्रॉस की मंडली की प्रमुख सीट है (यद्यपि इसके आधिकारिक मुख्यालय नहीं, जो रोम में हैं)। इसका मुख्य सेमिनरी, मोरौ सेमिनरी, सेंट पर कैंपस पर स्थित है। मुख्य भवन से जोसेफ झील। ओल्ड कॉलेज, कैंपस पर सबसे पुरानी इमारत और सेंट के किनारे के पास स्थित है। मैरी लेक, हाउस अंडर ग्रेजुएट सेमिनियन। सेवानिवृत्त पुजारी और भाई फातिमा हाउस (एक पूर्व रिट्रीट सेंटर), होली क्रॉस हाउस, साथ ही साथ ग्रोट्टो के पास कोलंबिया हॉल में रहते हैं। मोरौ सेमिनरी के माध्यम से विश्वविद्यालय में धर्मशास्त्री फ्रेडरिक बुएकनर से संबंध हैं। कैथोलिक नहीं होने पर, बुएकनर ने नोट्रे डेम और मोरौ सेमिनरी से लेखकों की प्रशंसा की है, उन्होंने प्रचार के लिए एक बुएकनर पुरस्कार बनाया है।
Ques: पवित्र क्रॉस की मण्डली का प्राथमिक मित्रता क्या है?",मोरौ सेमिनरी
Provide a response to the question using the given details.,"अर्थशास्त्री मार्क ज़ंडी ने जनवरी 2010 में वित्तीय संकट पूछताछ आयोग की गवाही दी: ""प्रतिभूतिकरण बाजार भी कमजोर रहते हैं, क्योंकि निवेशक अधिक ऋण हानि की उम्मीद करते हैं। निवेशक भी कानूनी और लेखांकन नियम परिवर्तन और नियामक सुधारों के बारे में अनिश्चित हैं। निजी बंधन आवासीय और वाणिज्यिक बंधक-समर्थित प्रतिभूतियों, संपत्ति समर्थित प्रतिभूतियों, और सीडीओएस को 2006 में $2 ट्रिलियन के करीब पहुंचा। 2009 में, निजी जारी करने वाला $150 बिलियन से कम था, और यह लगभग सभी क्रेडिट कार्ड, ऑटो और लघु व्यवसाय उधारदाताओं की सहायता के लिए संघीय रिजर्व के तालफ कार्यक्रम द्वारा समर्थित संपत्ति समर्थित जारीकर्ता थे। आवासीय और वाणिज्यिक बंधक-समर्थित प्रतिभूतियों को जारी करना और सीडीओएस निष्क्रिय रहता है।
Ques: जनवरी 2010 में, मार्क ज़ंडी ने उन बाजारों के बारे में क्या गवाही दी थी और निवेशकों को अधिक ऋण हानि की उम्मीद है?",प्रतिभूतिकरण बाजार
Use the supplied information to answer the question.,"यद्यपि अर्नेफोटबॉल 2 लीग ने 2009 में अपना दसवां सीजन खेला, दिसंबर 2008 में एक सम्मेलन कॉल के परिणामस्वरूप एएफएल के लिए एएफएलपीए से मालिकों और सहयोग से पर्याप्त वोट हुए, ताकि पूरे 2009 के सत्र को ""इसे बेहतर बनाने के लिए एक लंबी अवधि की योजना बना सकेंआर्थिक मॉडल ""। ऐसा करने में, एएफएल एक पूरे सीज़न को रद्द करने के लिए दूसरा खेल लीग बन गया, नेशनल हॉकी लीग ने लॉकआउट की वजह से 2004-05 सत्र को रद्द कर दिया। एएफएल भी अपने पोस्टसेसन को खोने के लिए तीसरा खेल लीग बन गया (पहला मेजर लीग बेसबॉल, जिसने 1994 में हड़ताल के कारण अपने पोस्टसेसन खो दिया)। लीग के बिजनेस मॉडल को दोबारा सुधारने के प्रयास कोलंबस विनाशक मालिक जिम रेनैकी और अंतरिम आयुक्त नीति के नेतृत्व में रखा गया था।
Ques: 2009 में ArenafootBall2 क्या क्रमांकित सीजन किया?",दसवां
Respond to the question according to the provided context.,"युद्ध के दौरान, कनाडा के सात राष्ट्रों को फ्रेंच के साथ संबद्ध किया गया था। ये लॉरेन्टियन घाटी के मूल अमेरिकियों थे-अल्गोनक्विन, द हूरन, और अन्य। यद्यपि अल्गोनक्विन जनजाति और सात राष्ट्र सीधे ओहियो नदी घाटी के भाग्य से संबंधित नहीं थे, लेकिन वे iroquois संघ के पीड़ित थे। Iroquois Algonquin क्षेत्र पर अतिक्रमण किया था और Algonquins पश्चिम में मिशिगन झील। इसलिए, Algonquin और सात राष्ट्र Iroquois के खिलाफ लड़ने में रुचि रखते थे। न्यू इंग्लैंड में, न्यूयॉर्क और उत्तर-पश्चिम मूल अमेरिकी जनजातियों ने प्रमुख जुझार्यों के साथ अलग-अलग गठबंधन बनाए। इरोक्वॉइस, जो अब न्यूयॉर्क के ऊपर है, ने ब्रिटिश के साथ पक्षपात किया है, लेकिन युद्ध में बड़ी भूमिका निभाई नहीं है।
Ques: जो कनाडा के सात राष्ट्र थे?",ये लॉरेन्टियन घाटी के मूल अमेरिकियों थे
दिए गए जानकारी के आधार पर प्रश्न का उत्तर दें।,"हालांकि गिरावट की प्रवृत्ति सीजन आठ में जारी रही, क्योंकि कुल दर्शकों की संख्या सीजन सात की तुलना में शुरुआती एपिसोड के लिए 5-10% और समापन के लिए 9% तक गिर गई। सीज़न नौ में, आइडल की रेटिंग में पूर्णता की छह साल की विस्तारित लकीर टूट गई, जब 17 फरवरी को 2010 के शीतकालीन ओलंपिक के एनबीसी के कवरेज ने आइडल को उसी समय स्लॉट में आइडल के 18.4 मिलियन से अधिक 30.1 मिलियन दर्शकों के साथ हराया। फिर भी, अमेरिकन आइडल ने अपने नौवें सीज़न को छठे वर्ष के लिए सबसे अधिक देखी जाने वाली टीवी श्रृंखला के रूप में समाप्त किया, सीबीएस 'ऑल इन द फैमिली और एनबीसी के द कॉस्बी शो द्वारा हासिल किए गए लगातार पांच सीज़न के पिछले रिकॉर्ड को तोड़ दिया।
Ques: किस वर्ष में एनबीसी ने पहली बार रेटिंग में अमेरिकी मूर्ति को हराया?",2010
प्रदान की गई जानकारी का उपयोग करके प्रश्न का उत्तर दें।,"तुर्की: इस्तांबुल में मशाल रिले लेग, 3 अप्रैल को आयोजित, सुल्तानहमेट स्क्वायर पर शुरू हुआ और टैक्सिम स्क्वायर में समाप्त हुआ। तुर्की में रहने वाले उइगर्स ने झिंजियांग में रहने वाले अपने देशवासियों के चीनी उपचार पर विरोध किया। रिले को बाधित करने की कोशिश करने वाले कई प्रदर्शनकारियों को तुरंत पुलिस द्वारा गिरफ्तार किया गया था।
Ques: 3 अप्रैल को ओलंपिक मशाल किस शहर में था?",इस्तांबुल
दिए गए संदर्भ के अनुसार प्रश्न का उत्तर दें।,"विनाया भिक्षुओं और नन के लिए विशिष्ट नैतिक कोड है। इसमें पेटीमोकखा, थेवैडिन रिकेनक्शन में भिक्षुओं के लिए 227 नियमों का एक सेट शामिल है। विनायपिताका (विनाया पर शास्त्र) की सटीक सामग्री अलग-अलग स्कूलों के अनुसार अलग-अलग अलग-अलग स्कूलों के अनुसार अलग होती है, और सबस्कूल विनाया के अनुपालन की डिग्री के लिए अलग-अलग मानकों को निर्धारित करते हैं। नौसिखिया-भिक्षु दस नियमों का उपयोग करते हैं, जो मोनास्टिक्स के लिए बुनियादी नियम हैं।
Ques: मोनास्टिक्स के लिए कितने बुनियादी नियम हैं?",दस नियम
उपलब्ध जानकारी के आधार पर सवाल का जवाब दें।,"वनों 45,000 से अधिक पुष्प और 81,000 फनल प्रजातियों को बरकरार रखने में एक महत्वपूर्ण भूमिका निभाते हैं, जिनमें से 5150 पुष्प और 1837 फनल प्रजातियां स्थानिक हैं। एक विशिष्ट भौगोलिक क्षेत्र तक सीमित पौधे और पशु प्रजातियों को स्थानिक प्रजाति कहा जाता है। आरक्षित जंगलों में, शिकार और चराई जैसी गतिविधियों के अधिकार कभी-कभी जंगल के किनारे पर रहने वाले समुदायों को दिए जाते हैं, जो वन संसाधन या उत्पादों से आंशिक रूप से या पूरी तरह से अपनी आजीविका को बनाए रखते हैं। अवर्गीकृत जंगलों में 6 शामिल हैं। कुल वन क्षेत्र का 4 प्रतिशत और वे निम्नलिखित विशेषताओं द्वारा चिह्नित हैं:।
Ques: कितने स्थानिक फनल प्रजातियां वनों को बंदरगाह करती हैं?",1837
Diye gaye jaankari ke aadhaar par question ka answer dein.,"बीजिंग ओलंपिक आयोजन समिति ने लोगों की सशस्त्र पुलिस से चुने गए 30 निर्बाध परिचरों की एक टीम को अपनी यात्रा में लौ को पार करने के लिए चुना। एशियाई समय के अनुसार, अगस्त 2007 में एक समारोह के दौरान ""बीजिंग ओलंपिक खेलों सेक्रेड फ्लेस प्रोटेक्शन यूनिट"" के रूप में शपथ ली, उनका मुख्य काम पूरे यात्रा में ओलंपिक लौ को दूर रखने और मशालों के बीच लौ को स्थानांतरित करने में सहायता करने के लिए है।लालटेन और कलड्रन। वे मेल खाने वाले नीले ट्रैकसुइट्स पहनते हैं और रास्ते के हर कदम के साथ मशाल के साथ हैं। मशाल परिचरों में से एक, जिसे ""दूसरा दाहिना भाई"" कहा जाता है, ने विशेष रूप से चीन की महिला नेटिजेंस के बीच एक महत्वपूर्ण ऑनलाइन प्रशंसक आधार विकसित किया है।
Ques: क्या परिचर है जिसके पास एक बड़ा प्रशंसक आधार है?",दूसरा दाहिना भाई
Jo information provide ki gayi hai uske basis par question ka jawab dein.,"1 अप्रैल, 2008 को, सैन फ्रांसिस्को बोर्ड ऑफ पर्यवेक्षकों ने मानवाधिकार चिंताओं को संबोधित करने के लिए एक प्रस्ताव को मंजूरी दे दी जब बीजिंग ओलंपिक मशाल 9 अप्रैल को सैन फ्रांसिस्को में आता है। संकल्प चीन में गंभीर और चल रहे मानवाधिकारों के दुरुपयोग को समाप्त करने और तिब्बत पर कब्जा करने के लिए, सैन फ्रांसिस्को के नागरिकों सहित अंतर्राष्ट्रीय समुदाय को अपने पिछले गंभीर वादों को पूरा करने के लिए चीन की विफलता के साथ ""अलार्म और विरोध प्रदर्शन के साथ मशाल का स्वागत करेगा। ""8 अप्रैल को, अभिनेता रिचर्ड गेरे और आर्कबिशप डेसमंड तुतु के नेतृत्व में शहर के संयुक्त राष्ट्र प्लाजा में एक सहित कई विरोधियों की योजना बनाई गई थी।
Ques: सैन फ्रांसिस्को ओलंपिक विरोध में भाग लेने के लिए अभिनेता क्या निर्धारित किया गया था?",रिचर्ड गेरे
