Muiriel is 20 now.,म्यूरियल अब बीस साल की हो गई है।
Muiriel is 20 now.,म्यूरियल अब बीस साल की है।
Education in this world disappoints me.,मैं इस दुनिया में शिक्षा पर बहुत निराश हूँ।
That won't happen.,वैसा नहीं होगा।
I miss you.,मुझें तुम्हारी याद आ रही है।
I miss you.,मुझें आपकी याद आ रही है।
You should sleep.,तुम्हें सोना चाहिए।
You should sleep.,आपको सोना चाहिए।
I never liked biology.,मुझे जीव विज्ञान कभी भी पसंद नहीं था।
No I'm not; you are!,"मैं नहीं हूँ, तुम हो!"
That's MY line!,वह तो मेरी लाईन है!
Are you sure?,पक्का?
Hurry up.,जल्दी करो!
It doesn't surprise me.,इससे मुझें आश्चर्य नहीं होता।
It doesn't surprise me.,इससे मुझें ताज्जुब नहीं होता।
For some reason I feel more alive at night.,पता नहीं क्यों मुझे रात में ज़्यादा ज़िन्दा महसूस होता है।
I'm so fat.,मैं कितना मोटा हूं।
I'm so fat.,मैं कितनी मोटी हूं।
That's because you're a girl.,इसलिए क्योंकि तुम लड़की हो।
I didn't like it.,मुझे अच्छा नहीं लगा।
I didn't like it.,मुझे पसंद नहीं आया।
You can do it.,तुम कर सकते हो।
You can do it.,तुम कर सकती हो।
That wasn't my intention.,मेरा वह इरादा नहीं था।
It seems interesting to me.,मुझे बहुत मज़ेदार लगती है!
It seems interesting to me.,मुझे बहुत दिलचस्प लगती है!
What did you answer?,तुमने क्या जवाब दिया?
What did you answer?,तुम ने क्या जवाब दिया?
What did you answer?,आप ने क्या जवाब दिया?
Where is the problem?,मुश्किल क्या है?
Where is the problem?,मुश्किल कहाँ है?
I love you.,मैं तुमसे प्यार करती हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करती हूँ।
I love you.,मुझे तुमसे प्यार है।
I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
Bearing can be unbearable.,बर्दाश्त की भी हद होती है।
"Tomorrow, he will land on the moon.",कल वह चाँद पर उतरेगा।
"When will you be back? ""It all depends on the weather.""","कब वापस आओगे? ""यह तो मौसम देख कर पता चलेगा।"""
What's the matter? asked the little white rabbit.,क्या बात है? छोटे सफ़ेद खरगोश ने पूछा।
Allen is a poet.,ऐलन कवि है।
Allen is a poet.,अॅलेन कवी है।
"Democracy is the worst form of government, except all the others that have been tried.","लोकतंत्र सरकार का सबसे घिनौना रूप है, अगर बाकी सारी तरह की सरकारों को अंदेखा किया जाए तो।"
"When I left the train station, I saw a man.",मैंने ट्रेन स्टेशन से निकलने के समय एक आदमी को देखा।
Did you miss me?,मेरी याद आई क्या?
Thank you very much!,आपका बहुत बहुत धन्यवाद!
Thank you very much!,आपका बहुत बहुत शुक्रिया!
I'll take him.,मैं उसे लेलूँगा।
They say love is blind.,कहते हैं कि प्यार अंधा होता है।
It's impossible for me to explain it to you.,मुझे तुमको यह बात समझाना नामुमकिन है।
It is already eleven.,ग्यारह बज चुके हैं।
I have a bone to pick with you.,मैं तुमसे खुश नहीं हूँ।
The world is a den of crazies.,दुनिया पागलों से भरी हुई है।
My name is Jack.,मेरा नाम जैक है।
Would you like to dance with me?,मेरे साथ नाचना चाहोगी क्या?
Would you like to dance with me?,मेरे साथ डान्स करना चाहती हो क्या?
Italy is a very beautiful country.,इटली एक बहुत सुंदर देश है।
Open your mouth!,अपना मूँह खोलो!
Nobody came.,कोई नहीं आया।
I have a headache.,मेरे सिर में दर्द हो रहा है।
I have a headache.,मुझे सिरदर्द हो रहा है।
It's too expensive!,बहुत महंगा है!
It's too expensive!,बहुत महंगी है!
You should have listened to me.,तुम्हें मेरी बात सुन लेनी चाहिए थी।
I'm starving!,मैं भूख से मरा जा रहा हूँ।
I am married and have two children.,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
"Who searches, finds.","जो ढूँढता है, उसीको मिलता है।"
"I don't think, therefore I am not.","मैं सोचता नहीं, अतः मैं नहीं हूं।"
"I don't think, therefore I am not.","मैं सोचती नहीं, अतः मैं नहीं हूं।"
I find foreign languages very interesting.,मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।
It's cold.,ठंड हो रही है।
"When you can't do what you want, you do what you can.","जब वह नहीं कर सकते जो करना चाहते हो, तो वह करो जो कर सकते हो।"
You didn't tell him anything?,तुमने उसे कुछ भी नहीं बताया?
You made me lose my mind.,तुमने मुझे पागल कर दिया।
"Could you call again later, please?",क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?
I don't want to go to school.,मैं स्कुल जाना नहीं चाहता हूँ।
Justice is expensive.,इंसाफ़ महंगा होता है।
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.,कुछ नेत्रहीन व्यक्तियों में उनके आास-पास की चीज़ों की दूरी को महसूस करने की क्षतिपूरक क्षमता पैदा हो जाती है।
I cannot dance one single step of Salsa.,मुझे साल्सा नाचना बिलकुल नहीं आता।
I like my job very much.,मुझे अपना काम बहुत पसंद है।
But you've never told me about this!,पर तुमने मुझे यह पहले कभी बताया नहीं था!
You had plenty of time.,तुम्हारे पास काफ़ी समय था।
How many sandwiches are there left?,कितने सैंडविच बचे हैं?
I can't believe it!,मुझे विश्वास नहीं होता!
He's rich. He doesn't need money!,वह अमीर है। उसे पैसों की ज़रूरत नहीं है।
He's sleeping like a baby.,वह बच्चे की तरह सो रहा है।
There's a secret path on the left.,बाईं ओर को एक गुप्त रास्ता है।
Are you saying my life is in danger?,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
So what if I am gay? Is it a crime?,तो क्या अगर मैं गे हूँ? कोई अपराध है क्या?
I spent the whole afternoon chatting with friends.,मैंने दोपहरभर अपने दोस्तों से गप मारी।
"Sir, you are not allowed to park your car here.",आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते हैं।
"When I was your age, Pluto was a planet.",जब मैं तुम्हारी उम्र का था तब प्लूटो ग्रह था।
"If I don't do it now, I never will.",अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
"Perhaps you are right, I have been selfish.","शायद तुम सही हो, शायद मैं स्वार्थी रहा हूँ।"
We men are used to waiting for the women.,हम मर्दों को औरतों का इंतेज़ार करने की आदत है।
Take good care of yourself.,अपना अच्छे से ख़याल रखना।
Do you have a pen on you?,तुम्हारे पास कलम है क्या?
"The sooner, the better.",जितना जल्दी उतना अच्छा।
I don't know him.,मैं उसे नहीं जानता।
Look carefully. I'm going to show you how it's done.,ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
Fifty-two per cent of British women prefer chocolate to sex.,बावन प्रतिशत ब्रिटिश औरतें सेक्स से ज़्यादा चॉकलेट पसंद करती हैं।
He's a good person.,वह अच्छा इनसान है।
Make yourself at home.,इसको अपना घर ही समझो।
I'm going to take a bath.,मैं नहाने जा रहा हूँ।
Don't forget the ticket.,टिकट भूलना मत।
I talked to friends.,मैंने दोस्तों से बात की।
Tell me what happened.,मुझे बताओ क्या हुआ।
It's more difficult than you think.,जितना तुम सोच रहे हो उतना आसान नहीं है।
I don't know if I'll have time to do it.,मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।
For once in my life I'm doing a good deed... And it is useless.,मैंने ज़िन्दगी में पहली बार कोई अच्छा काम किया पर वह भी बेकार निकला।
It's been ten years since we last met.,हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।
I buried my dog at the pet cemetery.,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
You should take care of your sick mother.,तुम्हें अपनी बीमार माँ का ख़याल रखना चाहिए।
Can you keep a secret?,तुम राज़ रख सकते हो क्या?
"You are tired, aren't you?","तुम थक गए हो, है ना?"
Are you younger than him?,तुम उससे छोटे हो क्या?
