instruction,input,output
Respond to the provided chemistry question:,आणविक सूत्र C6H12O2 वाले कार्बनिक यौगिक का IUPAC नाम क्या है?,"आणविक सूत्र C6H12O2 के साथ कई आइसोमर हो सकते हैं, इसलिए यौगिक की संरचना के बारे में अधिक जानकारी के बिना एक विशिष्ट IUPAC नाम प्रदान करना संभव नहीं है। यदि आप संरचना या कोई अतिरिक्त विवरण प्रदान कर सकते हैं, तो मुझे आई. यू. पी. ए. सी. नाम निर्धारित करने में आपकी मदद करने में खुशी होगी।"
Provide an answer to the given chemistry query:,आणविक सूत्र C6H12O के साथ कार्बनिक यौगिक का व्यवस्थित नाम क्या है और बाएं छोर से दूसरे कार्बन परमाणु पर स्थित एक कीटोन कार्यात्मक समूह क्या है?,आणविक सूत्र C6H12O के साथ कार्बनिक यौगिक का व्यवस्थित नाम और बाएं छोर से दूसरे कार्बन परमाणु पर स्थित एक कीटोन कार्यात्मक समूह 2-हेक्सेनोन है।
Solve the chemistry question presented:,"निम्नलिखित यौगिक का व्यवस्थित नाम क्या है?
CH3CH2CH2OH",यौगिक CH3CH2CH2OH का व्यवस्थित नाम 1-प्रोपेनॉल है।
Address the chemistry problem provided:,निम्नलिखित कार्बनिक यौगिक का आई. यू. पी. ए. सी. नाम क्या हैः CH3CH2CH2CH2COOH?,दिए गए कार्बनिक यौगिक (CH3CH2CH2CH2COOH) का IUPAC नाम पेंटानोइक एसिड है।
Offer a solution to the stated chemistry question:,आणविक सूत्र C5H10O और श्रृंखला के दूसरे कार्बन परमाणु से जुड़े कार्बोनिल कार्यात्मक समूह के साथ कार्बनिक यौगिक का व्यवस्थित नाम क्या है?,आणविक सूत्र C5H10O के साथ कार्बनिक यौगिक का व्यवस्थित नाम और श्रृंखला के दूसरे कार्बन परमाणु से जुड़ा एक कार्बोनिल कार्यात्मक समूह पेंटन-2-1 है।
प्रदान किए गए रसायन विज्ञान के प्रश्न का उत्तर दें:,"आणविक सूत्र C6H12 और निम्नलिखित संरचनात्मक सूत्र के साथ कार्बनिक यौगिक का व्यवस्थित नाम क्या हैः
CH3CH2CH2CH2CH = CH2",दिया गया संरचनात्मक सूत्र 5वें और 6वें कार्बन परमाणुओं के बीच दोहरे बंधन के साथ एक एल्कीन का प्रतिनिधित्व करता है। इस कार्बनिक यौगिक का व्यवस्थित नाम हेक्स-5-एन या 1-हेक्सिन है।
दिए गए रसायन विज्ञान के प्रश्न का समाधान प्रदान करें:,"""निम्नलिखित कार्बनिक यौगिक के लिए आई. यू. पी. ए. सी. नाम की पहचान करेंः सी. एच. 3. सी. एच. 2. सी. एच. 2. सी. ओ. ओ. एच.""",कार्बनिक यौगिक CH3CH2CH2COOH का IUPAC नाम ब्यूटेनोइक एसिड है।
प्रस्तुत किए गए रसायन विज्ञान के प्रश्न को हल करें:,"निम्नलिखित कार्बनिक यौगिक का आई. यू. पी. ए. सी. नाम क्या है?

CH3-CH2-CH (Cl)-CH = CH2

संकेतः सबसे लंबी श्रृंखला में 5 कार्बन परमाणु होते हैं।",दिए गए कार्बनिक यौगिक का आई. यू. पी. ए. सी. नाम 3-क्लोरो-1-पेन्टिन है।
प्रदान की गई रसायन विज्ञान की समस्या का समाधान करें:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः C6H5CH2CH2CH (CH3) 2।,दिया गया कार्बनिक यौगिक 4-मिथाइल-2-मिथाइलहेक्सेन है।
दिए गए रसायन विज्ञान के प्रश्न का समाधान प्रस्तुत करें:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः CH3CH (CH3) CH2CH3,"दिया गया कार्बनिक यौगिक ""2-मिथाइलब्यूटेन"" है।"
Pradan kiye gaye rasayan vigyan ke prashn ka uttar dein:,"आई. यू. पी. ए. सी. नामकरण का उपयोग करके निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः

CH3-CH2-CH2-CH (CH3)-NH2",दिया गया कार्बनिक यौगिक 3-मिथाइलपेंटन-2-एमाइन है।
Diye gaye rasayan vigyan ke prashn ka samadhan pradan karein:,"निम्नलिखित कार्बनिक यौगिक का आई. यू. पी. ए. सी. नाम क्या है?

CH3CH2CH2COOH",कार्बनिक यौगिक CH3CH2CH2COOH का IUPAC नाम ब्यूटेनोइक एसिड है।
Prastut kiye gaye rasayan vigyan ke prashn ko hal karein:,"निम्नलिखित कार्बनिक यौगिक का सही आई. यू. पी. ए. सी. नाम क्या है?

CH3CH2CH (CH3) CH = CH2",दिए गए कार्बनिक यौगिक (CH3CH2CH (CH3) CH = CH2) के लिए सही IUPAC नाम 4-मिथाइलपेंट-2-एन है।
Pradan ki gayi rasayan vigyan ki samasya ka samadhan karein:,कार्बनिक यौगिक CH3CH2CH2OH का व्यवस्थित नाम क्या है?,"कार्बनिक यौगिक CH3CH2CH2OH का व्यवस्थित नाम प्रोपेन-1-ओएल है, जिसे 1-प्रोपेनॉल के रूप में भी जाना जाता है।"
Diye gaye rasayan vigyan ke prashn ka samadhan prastut karein:,निम्नलिखित यौगिक के नाम की पहचान कीजिएः CH3CH2CH2OH।,यौगिक CH3CH2CH2OH को 1-प्रोपेनॉल या बस प्रोपेनॉल नाम दिया गया है। यह एक अल्कोहल है जिसमें तीन-कार्बन श्रृंखला और पहले कार्बन से जुड़ा एक हाइड्रॉक्सिल समूह (-OH) है।
Respond to the provided chemistry question:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः CH3CH2CH2CH (CH3) 2।,"कार्बनिक यौगिक CH3CH2CH2CH (CH3) 2 को 2,2-डाइमिथाइलब्यूटेन नाम दिया गया है।"
Provide an answer to the given chemistry query:,"निम्नलिखित कार्बनिक यौगिक का नाम क्या है?
CH3CH2CH2CHO",दिए गए कार्बनिक यौगिक को बुटिराल्डिहाइड कहा जाता है। इसे बुटानल के नाम से भी जाना जाता है।
Solve the chemistry question presented:,"निम्नलिखित कार्बनिक यौगिक का व्यवस्थित नाम क्या है?

CH3CH2CH (Cl) CH (OH) CH3",दिए गए कार्बनिक यौगिक का व्यवस्थित नाम 3-क्लोरो-2-पेनटेनॉल है।
Address the chemistry problem provided:,आणविक सूत्र C3H8O के साथ कार्बनिक यौगिक के IUPAC नाम की पहचान करें।,"आणविक सूत्र C3H8O के लिए दो संभावित आइसोमर हैंः

1. प्रोपेन-1-ओएल (जिसे 1-प्रोपेनॉल या एन-प्रोपाइल अल्कोहल के रूप में भी जाना जाता है): CH3CH2CH2OH
2. प्रोपेन-2-ओएल (जिसे 2-प्रोपेनॉल या आइसोप्रोपाइल अल्कोहल के रूप में भी जाना जाता है): CH3CH (OH) CH3

ये दोनों यौगिक तीन कार्बन परमाणुओं और एक हाइड्रॉक्सिल समूह के साथ अल्कोहल हैं। अंतर कार्बन श्रृंखला पर हाइड्रॉक्सिल समूह की स्थिति में है।"
Offer a solution to the stated chemistry question:,निम्नलिखित कार्बनिक यौगिक का सही आई. यू. पी. ए. सी. नाम क्या हैः सी. एच. 3-सी. एच. 2-सी. एच. (सी. एच. 3)-सी. एच. 2-बी. आर.?,दिए गए कार्बनिक यौगिक CH3-CH2-CH (CH3)-CH2-Br का सही IUPAC नाम 1-ब्रोमो-3-मिथाइलब्यूटेन है।
प्रदान किए गए रसायन विज्ञान के प्रश्न का उत्तर दें:,निम्नलिखित कार्बनिक यौगिक का आई. यू. पी. ए. सी. नाम क्या हैः सी. एच. 3. सी. एच. 2. ओ. ओ. एच.,दिए गए कार्बनिक यौगिक (CH3CH2COOH) का IUPAC नाम प्रोपेनोइक एसिड है।
दिए गए रसायन विज्ञान के प्रश्न का समाधान प्रदान करें:,निम्नलिखित कार्बनिक यौगिक का व्यवस्थित नाम क्या हैः CH3CH2CH (CH3) CH2CH3?,दिए गए कार्बनिक यौगिक CH3CH2CH (CH3) CH2CH3 का व्यवस्थित नाम 3-मिथाइलपेन्टेन है।
प्रस्तुत किए गए रसायन विज्ञान के प्रश्न को हल करें:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः CH3CH2CH2OH,दिया गया कार्बनिक यौगिक 1-प्रोपेनॉल है।
प्रदान की गई रसायन विज्ञान की समस्या का समाधान करें:,"निम्नलिखित कार्बनिक अणु का व्यवस्थित नाम क्या है?

CH3CH2CH (CH3) CH = C (CH3) 2","दिए गए कार्बनिक अणु का व्यवस्थित नाम 4,4-डाइमिथाइल-3-पेंटीन है।"
दिए गए रसायन विज्ञान के प्रश्न का समाधान प्रस्तुत करें:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः CH3CH2CH2OH।,कार्बनिक यौगिक CH3CH2CH2OH को 1-प्रोपेनॉल (जिसे एन-प्रोपेनॉल या प्रोपाइल अल्कोहल के रूप में भी जाना जाता है) नाम दिया गया है।
Pradan kiye gaye rasayan vigyan ke prashn ka uttar dein:,निम्नलिखित कार्बनिक यौगिक का नाम लिखिएः CH3CH2CH2CH2CH2OH।,कार्बनिक यौगिक CH3CH2CH2CH2CH2OH को 1-पेंटेनॉल नाम दिया गया है।
