instruction,input,output
Solve the given problem.,ग्रेसी और जो जटिल तल पर संख्याएँ चुन रहे हैं। जो बिंदु $1+2i$ चुनता है। ग्रेसी $-1+i$ चुनती है। ग्रेसी और जो के बिंदु एक दूसरे से कितनी दूरी पर हैं?,"जटिल तल में दो बिंदुओं $(x_1,y_1)$ तथा $(x_2,y_2)$ के बीच की दूरी सूत्र $\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}$ द्वारा दी गई है।
इस मामले में, जो का बिंदु $(1,2)$ है तथा ग्रेसी का बिंदु $(-1,1)$ है।
इसलिए उनके बिंदुओं के बीच की दूरी $\sqrt{((-1)-(1))^2+((1)-(2))^2}=\sqrt{(-2)^2+(-1)^2}=\sqrt{4+1}=\sqrt{5}$ है।
इसलिए, ग्रेसी तथा जो के बिंदु $\boxed{\sqrt{5}}$ इकाइयों के बीच की दूरी पर हैं।
उत्तर है: \sqrt{5}"
Provide the solution to the specified mathematics problem.,"फुटबॉल टीम के सभी सोलह खिलाड़ियों के लिए उपकरण खरीदने की कुल लागत क्या है, यह मानते हुए कि प्रत्येक खिलाड़ी को $25 की जर्सी, $15.20 की शॉर्ट्स की जोड़ी, तथा $6.80 की कीमत वाली मोजे की एक जोड़ी की आवश्यकता है?","प्रत्येक खिलाड़ी को $25 की जर्सी, $15.20 की शॉर्ट्स की जोड़ी और $6.80 की कीमत वाले मोज़ों की एक जोड़ी की आवश्यकता होती है।
तो प्रत्येक खिलाड़ी के लिए कुल लागत $25 + $15.20 + $6.80 = $47 है।
चूँकि फ़ुटबॉल टीम में सोलह खिलाड़ी हैं, इसलिए उन सभी के लिए कुल लागत 16 * $47 = $752 है।
#### 752
उत्तर है: 752"
Find the answer to the problem using the given details.,"डिएगो ने अपनी बहन के जन्मदिन के लिए 12 केक बनाए। डोनाल्ड ने भी 4 केक बनाए, लेकिन पार्टी शुरू होने का इंतज़ार करते हुए x खा गया। 15 केक बचे हैं। अज्ञात चर x का मान क्या है?","इस समस्या को हल करने के लिए, हमें x का मान निर्धारित करना होगा, जो पार्टी शुरू होने का इंतज़ार करते समय डोनाल्ड द्वारा खाए गए केक की संख्या को दर्शाता है।
चलिए दी गई जानकारी को तोड़ते हैं:
डिगो द्वारा बेक किए गए केक की संख्या: 12
डोनाल्ड द्वारा बेक किए गए केक की संख्या: 4
शेष केक की संख्या: 15
हम समीकरण को इस प्रकार सेट कर सकते हैं:
डिगो द्वारा बेक किए गए केक की संख्या + डोनाल्ड द्वारा बेक किए गए केक की संख्या - डोनाल्ड द्वारा खाए गए केक की संख्या = शेष केक की संख्या
12 + 4 - x = 15
चलिए x को सरल बनाते हैं और हल करते हैं:
16 - x = 15
x को अलग करने के लिए, हम समीकरण के दोनों पक्षों से 16 घटाते हैं:
16 - x - 16 = 15 - 16
-x = -1
अंत में, हम x को हल करने के लिए समीकरण के दोनों पक्षों को -1 से गुणा करते हैं:
x = 1
x का मान 1 है।
#### 1
उत्तर है: 1"
Solve the mathematical problem as per the given question.,$10101_3$ को आधार 10 पूर्णांक में परिवर्तित करें।,"$10101_3 = 1 \cdot 3^4 + 0 \cdot 3^3 + 1 \cdot 3^2 + 0 \cdot 3^1 + 1 \cdot 3^0 = 81 + 9 + 1 = \boxed{91}$.
उत्तर है: 91"
दिए गए प्रश्न को हल करें।,"सू एक फैक्ट्री में काम करती है और हर 30 मिनट में, उसकी देखरेख में एक मशीन सोडा के 30 डिब्बे बनाती है। 8 घंटे में x मशीन सोडा के कितने डिब्बे बना सकती है?
यदि हम जानते हैं कि उपरोक्त प्रश्न का उत्तर 480 है, तो अज्ञात चर x का मान क्या है?","हम जानते हैं कि हर 30 मिनट में एक मशीन सोडा के 30 डिब्बे बनाती है।
चूँकि एक घंटे में 60 मिनट होते हैं, और कुल 8 घंटे होते हैं, इसलिए मिनटों की कुल संख्या 60 * 8 = 480 मिनट है।
यदि कोई मशीन हर 30 मिनट में सोडा के 30 डिब्बे बनाती है, तो 480 मिनट में, यह (480/30) * 30 = 480 सोडा के डिब्बे बनाएगी।
हमें दिया गया है कि उत्पादित सोडा के डिब्बों की कुल संख्या 480 है, इसलिए हम लिख सकते हैं: 480 = 480 * x।
दोनों पक्षों को 480 से विभाजित करने पर, हमें मिलता है: x = 1.
x का मान 1 है।
#### 1
उत्तर है: 1"
दिए गए गणितीय समस्या का समाधान प्रदान करें।,"मार्क सड़क के एक नए हिस्से को पक्का करने के लिए डामर खरीद रहा है। सड़क 2000 फीट लंबी और 20 फीट चौड़ी होगी। डामर का प्रत्येक ट्रक लोड 800 वर्ग फीट सड़क को कवर करेगा। यदि प्रत्येक ट्रक लोड की लागत x है, और 20% बिक्री कर है, तो मार्क को डामर के लिए कितना भुगतान करना होगा?
यदि हम जानते हैं कि उपरोक्त प्रश्न का उत्तर 4500 है, तो अज्ञात चर x का मान क्या है?","सड़क का क्षेत्रफल लंबाई को चौड़ाई से गुणा करके प्राप्त किया जाता है: 2000 * 20 = 40,000 वर्ग फीट।
डामर का प्रत्येक ट्रक लोड 800 वर्ग फीट सड़क को कवर करेगा, इसलिए मार्क को 40,000 / 800 = 50 ट्रक लोड डामर की आवश्यकता होगी।
प्रत्येक ट्रक लोड की लागत x डॉलर है।
बिक्री कर के बिना डामर की कुल लागत 50 * x डॉलर है।
बिक्री कर कुल लागत का 20% है, इसलिए बिक्री कर राशि 0.2 * (50 * x) = 10 * x डॉलर है।
बिक्री कर सहित कुल लागत बिक्री कर के बिना लागत और बिक्री कर राशि का योग है: 50 * x + 10 * x = 60 * x डॉलर।
हमें दिया गया है कि कुल लागत $4500 है, इसलिए हम लिख सकते हैं: 60 * x = $4500।
दोनों पक्षों को 60 से विभाजित करने पर, हमें मिलता है: x = $75।
x का मान $75 है।
#### 75
उत्तर है: 75"
दिए गए सवाल के अनुसार समस्या को हल करें।,"इवान के कुत्ते का वजन 63 पाउंड है; इसका वजन इवान के कुत्ते से x गुना ज़्यादा है। कुल मिलाकर, कुत्तों का वजन कितना है?
अगर हम जानते हैं कि उपरोक्त प्रश्न का उत्तर 72 है, तो अज्ञात चर x का मान क्या है?","हम जानते हैं कि इवान के कुत्ते का वजन 63 पाउंड है।
हम यह भी जानते हैं कि इवान के कुत्ते का वजन इवान के कुत्ते से x गुना ज़्यादा है, जिसका मतलब है कि इवान के कुत्ते का वजन 63/x पाउंड है।
कुत्तों का कुल वजन इवान के कुत्ते के वजन और इवान के कुत्ते के वजन का योग है: 63 + 63/x.
हमें दिया गया है कि कुत्तों का कुल वजन 72 पाउंड है, इसलिए हम लिख सकते हैं: 63 + 63/x = 72.
x के लिए हल करने पर, हमें मिलता है: x = 7.
x का मान 7 है।
#### 7
उत्तर है: 7"
गणित के सवाल का हल ढूंढें।,बेलीज़ शहर में 400 घर हैं। शहर के एक चौथाई घर गोरे हैं। गैर-गोरे घरों में से एक-पांचवें हिस्से में चिमनी है। कितने गैर-गोरे घरों में चिमनी नहीं है?,"शहर के एक चौथाई घर गोरे हैं, इसलिए 400/4 = 100 गोरे घर हैं।
शेष गैर-गोरे घर 400 - 100 = 300 घर हैं।
गैर-गोरे घरों में से एक-पांचवें हिस्से में चिमनी है, इसलिए 300/5 = 60 गैर-गोरे घर हैं जिनमें चिमनी है।
इसलिए, बिना चिमनी वाले गैर-गोरे घरों की संख्या 300 - 60 = 240 है।
#### 240
उत्तर है: 240"
Diye gaye maths problem ko solve karein.,"राशियाँ $r$ और $s$ व्युत्क्रमानुपाती होती हैं। जब $r$ $1200 है, तो $s$ $0.35 है। $r$ $2400 है, तो $s$ का मान क्या है? अपने उत्तर को निकटतम हज़ारवें भाग तक दशमलव के रूप में व्यक्त करें।","यदि $r$ और $s$ व्युत्क्रमानुपाती होते हैं, तो हम जानते हैं कि $r \cdot s = k$ किसी स्थिरांक $k$ के लिए।
हमें दिया गया है कि जब $r$ $1200$ है, तो $s$ $0.35$ है। इसलिए हम समीकरण बना सकते हैं:
$1200 \cdot 0.35 = k$
सरलीकरण करने पर, हम पाते हैं कि $k = 420$।
अब हम $k$ के इस मान का उपयोग $s$ को हल करने के लिए कर सकते हैं जब $r$ $2400$ है:
$2400 \cdot s = 420$
दोनों पक्षों को $2400$ से विभाजित करने पर, हम पाते हैं कि $s = \boxed{0.175}$ निकटतम हज़ारवें भाग तक।
उत्तर है: 0.175"
"Jo maths question diya gaya hai, uska solution dein.","डेव ने छुट्टियों में खुद को व्यस्त रखने के लिए जानवरों के बारे में 8 किताबें, अंतरिक्ष के बारे में 6 किताबें और ट्रेनों के बारे में 3 किताबें खरीदीं। प्रत्येक किताब की कीमत $6 थी। डेव ने किताबों पर कितना खर्च किया?","डेव ने कुल 8 + 6 + 3 = 17 किताबें खरीदीं।
प्रत्येक किताब की कीमत $6 थी, इसलिए डेव ने किताबों पर कुल 17 x $6 = $102 खर्च किए।
#### 102
उत्तर है: 102"
