There are 0 apples in the basket, टोकरी में ० सेब हैं।
I have 1 pencil in my bag, मेरी बैग में १ पेंसिल है।
I need 2 more chairs, मुझे २ और कुर्सियाँ चाहिए।
We have 3 books on the shelf, शेल्फ पर ३ किताबें हैं।
There are 4 people in my family, मेरे परिवार में ४ लोग हैं।
I bought 5 shirts yesterday, मैंने कल ५ शर्ट्स खरीदी।
I have 6 cousins, मेरे पास ६ कजिन हैं।
There are 7 days in a week, एक हफ्ते में ७ दिन होते हैं।
The box contains 8 toys, बॉक्स में ८ खिलौने हैं।
I want 9 cookies, मुझे ९ बिस्कुट चाहिए।
There are 10 chairs in the room, कमरे में १० कुर्सियाँ हैं।
I saw 11 birds in the park, मैंने पार्क में ११ पक्षी देखे।
The train arrives at 12 o'clock, ट्रेन १२ बजे आती है।
There are 13 students in my class, मेरी कक्षा में १३ छात्र हैं।
My house has 14 rooms, मेरे घर में १४ कमरे हैं।
I need 15 minutes to finish my work, मुझे अपना काम खत्म करने के लिए १५ मिनट चाहिए।
He is 16 years old, वह १६ साल का है।
There are 17 people at the party, पार्टी में १७ लोग हैं।
I will be 18 tomorrow, मैं कल १८ साल का हो जाऊँगा।
There are 19 players in the team, टीम में १९ खिलाड़ी हैं।
We have 20 minutes to reach the station, हमें स्टेशन पहुँचने के लिए २० मिनट हैं।
She is 21 years old, वह २१ साल की है।
I have 22 candies in my bag, मेरी बैग में २२ कैंडीज़ हैं।
I saw 23 animals at the zoo, मैंने चिड़ियाघर में २३ जानवर देखे।
My father has 24 books on his desk, मेरे पिता के डेस्क पर २४ किताबें हैं।
There are 25 students in the class, कक्षा में २५ छात्र हैं।
I need 26 dollars to buy this, मुझे इसे खरीदने के लिए २६ डॉलर चाहिए।
There are 27 rooms in the hotel, होटल में २७ कमरे हैं।
The shop opens at 28 minutes past 9, दुकान ९ बजकर २८ मिनट पर खुलती है।
I have 29 pencils, मेरे पास २९ पेंसिलें हैं।
There are 30 people at the event, इवेंट में ३० लोग हैं।
I will be 31 years old next month, मैं अगले महीने ३१ साल का हो जाऊँगा।
There are 32 players in the tournament, टूर्नामेंट में ३२ खिलाड़ी हैं।
My father is 33 years old, मेरे पिता ३३ साल के हैं।
There are 34 trees in the park, पार्क में ३४ पेड़ हैं।
I have 35 books in my library, मेरी लाइब्रेरी में ३५ किताबें हैं।
There are 36 chairs in the hall, हॉल में ३६ कुर्सियाँ हैं।
There are 37 people in the bus, बस में ३७ लोग हैं।
The room is 38 feet long, कमरे की लंबाई ३८ फीट है।
There are 39 students in my school, मेरे स्कूल में ३९ छात्र हैं।
There are 40 workers in the factory, फैक्ट्री में ४० मजदूर हैं।
There are 41 cars in the parking lot, पार्किंग लॉट में ४१ कारें हैं।
I have 42 books in my collection, मेरी संग्रह में ४२ किताबें हैं।
There are 43 chairs in the restaurant, रेस्टोरेंट में ४३ कुर्सियाँ हैं।
I will buy 44 tickets for the concert, मैं संगीत कार्यक्रम के लिए ४४ टिकट खरीदूँगा।
There are 45 students in the classroom, कक्षा में ४५ छात्र हैं।
I have 46 stamps in my collection, मेरी संग्रह में ४६ स्टांप्स हैं।
There are 47 cars on the street, सड़क पर ४७ कारें हैं।
The store is 48 meters away, दुकान ४८ मीटर दूर है।
There are 49 people in the hall, हॉल में ४९ लोग हैं।
I have 50 rupees in my pocket, मेरी जेब में ५० रुपए हैं।
The sum of five and three is eight,पाँच और तीन का जोड़ आठ है।
Subtraction of two from five gives three,पाँच में से दो का घटाव तीन देता है।
The plus-minus sign is often used in mathematics,प्लस-ऋण चिह्न का उपयोग अक्सर गणित में होता है।
Multiplication of four and six results in twenty-four,चार और छह का गुणा चौबीस होता है।
Division of ten by two equals five,दस को दो से भाग करने पर पाँच मिलता है।
He scored ninety percent on the test,उसने परीक्षा में नब्बे प्रतिशत अंक प्राप्त किए।
Since it is raining, we should stay inside,चूंकि बारिश हो रही है, इसलिए हमें अंदर ही रहना चाहिए।
He was late, therefore he missed the bus,वह देर से आया, इसलिए वह बस से चूक गया।
The roof of the house is shaped like a triangle,घर की छत त्रिभुज के आकार की है।
I love eating fresh guava in the winter,मुझे सर्दियों में ताजा अमरूद खाना पसंद है।
I bought some fresh blueberry from the market,मैंने बाजार से ताजा ब्लूबेरी खरीदी।
Lychee is my favorite fruit during the summer,गर्मी के दौरान लीची मेरा पसंदीदा फल है।
She loves eating ripe peaches in the morning,वह सुबह के समय पके आडू खाना पसंद करती है।
I had a delicious pear for breakfast,मैंने नाश्ते में स्वादिष्ट नाशपाती खाई।
Plum trees are in full bloom in the garden,बग़ीचे में आलूबुखारा के पेड़ पूरी तरह से खिले हुए हैं।
I want to eat strawberry with whipped cream,मैं व्हिप्ड क्रीम के साथ स्ट्रॉबेरी खाना चाहता हूँ।
