instruction,english,transliterated_hindi
Write the Hindi script preserving the pronunciation,Zero,ज़ीरो
"Given the Hinglish word, provide its Hindi equivalent",One,वन
This is a transliteration task. Convert Hinglish to Hindi script,Two,टू
Convert the following text into Hindi script:,Three,थ्री
Convert this sentence from Hinglish phonetic text to Hindi:,Four,फोर
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Five,फाइव
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Six,सिक्स
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Seven,सेवेन
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Eight,एट
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Nine,नाइन
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Ten,टेन
Nimnlikhit paath ko Hindi lipi mein badlein:,Eleven,इलेवन
Yeh ek lipyantaran kaarya hai.,Twelve,टवेल्व
Write the Hindi script preserving the pronunciation,Thirteen,थींन
"Given the Hinglish word, provide its Hindi equivalent",Fourteen,फोर्टीन
This is a transliteration task. Convert Hinglish to Hindi script,Fifteen,फिफ्टीन
Convert the following text into Hindi script:,Sixteen,सिक्सटीन
Convert this sentence from Hinglish phonetic text to Hindi:,Seventeen,सेवेनटीन
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Eighteen,एटीन
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Nineteen,नाइनटीन
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Twenty,टवेंटी
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Twenty One,टवेंटी वन
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Twenty Two,टवेंटी टू
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Twenty Three,टवेंटी थ्री
Nimnlikhit paath ko Hindi lipi mein badlein:,Twenty Four,टवेंटी फोर
Yeh ek lipyantaran kaarya hai.,Twenty Five,टवेंटी फाइव
Write the Hindi script preserving the pronunciation,Twenty Six,टवेंटी सिक्स
"Given the Hinglish word, provide its Hindi equivalent",Twenty Seven,टवेंटी सेवेन
This is a transliteration task. Convert Hinglish to Hindi script,Twenty Eight,टवेंटी एट
Convert the following text into Hindi script:,Twenty Nine,टवेंटी नाइन
Convert this sentence from Hinglish phonetic text to Hindi:,Thirty,थर्टी
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Thirty One,थर्टी वन
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Thirty Two,थर्टी टू
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Thirty Three,थर्टी थ्री
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Thirty Four,थर्टी फोर
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Thirty Five,थर्टी फाइव
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Thirty Six,थर्टी सिक्स
Nimnlikhit paath ko Hindi lipi mein badlein:,Thirty Seven,थर्टी सेवेन
Yeh ek lipyantaran kaarya hai.,Thirty Eight,थर्टी एट
Write the Hindi script preserving the pronunciation,Thirty Nine,थर्टी नाइन
"Given the Hinglish word, provide its Hindi equivalent",Forty,फोर्टी
This is a transliteration task. Convert Hinglish to Hindi script,Forty One,फोर्टी वन
Convert the following text into Hindi script:,Forty Two,फोर्टी टू
Convert this sentence from Hinglish phonetic text to Hindi:,Forty Three,फोर्टी थ्री
उच्चारण को बनाए रखते हुए हिंदी लिपि लिखें:,Forty Four,फोर्टी फोर
दिए गए हिंग्लिश शब्द का हिंदी समानार्थक प्रदान करें:,Forty Five,फोर्टी फाइव
यह एक लिप्यंतरण कार्य है। हिंग्लिश को हिंदी लिपि में बदलें:,Forty Six,फोर्टी सिक्स
निम्नलिखित शब्द को हिंदी लिपि में बदलें:,Forty Seven,फोर्टी सेवेन
Uccharan ko banaye rakhte hue Hindi lipi likhein:,Forty Eight,फोर्टी एट
Diye gaye Hinglish shabd ka Hindi samanarthak pradan karein:,Forty Nine,फोर्टी नाइन
Nimnlikhit paath ko Hindi lipi mein badlein:,Fifty,फिफ्टी
Yeh ek lipyantaran kaarya hai.,Red,रेड
Write the Hindi script preserving the pronunciation,Yellow,येलो
"Given the Hinglish word, provide its Hindi equivalent",Green,ग्रीन
This is a transliteration task. Convert Hinglish to Hindi script,Black,ब्लैक
Convert the following text into Hindi script:,White,वाइट
Convert this sentence from Hinglish phonetic text to Hindi:,Orange,ऑरेंज
