instruction,english,hindi
Translate the following sentence to Hindi:,Framework,ढाँचा
Please provide the Hindi translation for the following sentence:,Mechanics,यांत्रिकी
How would you say this in Hindi?,Atomic,परमाण्विक
Convert the given sentence into Hindi:,Molecular,आण्विक
What is the Hindi equivalent of this sentence?,Photo electric effect,प्रकाश वैद्युत प्रभाव
Translate this sentence into Hindi:,Quantum,क्वांटम
Provide the Hindi version of the following:,Antiparticle,प्रतिकण
How do you translate this sentence to Hindi?,Discipline,विषय
Rewrite the following in Hindi:,Anti-electron,प्रति-इलेक्ट्रॉन
Hindi translation of this sentence is required:,Unification,एकीकरण
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Reduction,न्यूनीकरण
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Constituent,अवयव
Is vaakya ko Hindi mein kaise kahenge?,Macroscopic,स्थूल
Diya gaya vaakya Hindi mein badlein:,Concept,"धारणा, संकल्पना"
Is vaakya ka Hindi samanarth kya hai?,Universal,सार्वत्रिक
Is vaakya ko Hindi mein anuvaad karein:,Domain,प्रभावक्षेत्र
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Gravitation,गुरुत्वाकर्षण
Is vaakya ko Hindi mein kaise translate karenge?,Electromagnet,वैद्युत चुंबक
Neeche likha gaya vaakya Hindi mein likhein:,Kinetic theory,अणुगति सिद्धांत
Is vaakya ka Hindi translation pradaan karein:,Statistical mechanics,सांख्यिकीय यांत्रिकी
Translate the following sentence to Hindi:,Temperature,ताप
Please provide the Hindi translation for the following sentence:,Average,औसत
How would you say this in Hindi?,Mean,माध्य
Convert the given sentence into Hindi:,Terrestrial,पार्थिव
What is the Hindi equivalent of this sentence?,Celestial Object,आकाशीय पिंड
Translate this sentence into Hindi:,Eclipse,ग्रहण
Provide the Hindi version of the following:,Tide,ज्वारभाटा
How do you translate this sentence to Hindi?,Volcano,ज्वालामुखी
Rewrite the following in Hindi:,Rainbow,इन्द्रधनुष
Hindi translation of this sentence is required:,Phenomena,परिघटना
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Interaction,अन्योन्य क्रिया
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Technology,प्रौद्योगिकी
Is vaakya ko Hindi mein kaise kahenge?,Observation,प्रेक्षण
Diya gaya vaakya Hindi mein badlein:,Qualitative,गुणात्मक
Is vaakya ka Hindi samanarth kya hai?,Quantitative,मात्रत्मक
Is vaakya ko Hindi mein anuvaad karein:,Prediction,पूर्वानुमान
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Modelling,प्रतिरूपण
Is vaakya ko Hindi mein kaise translate karenge?,Verification,सत्यापन
Neeche likha gaya vaakya Hindi mein likhein:,Speculation,परिकल्पना
Is vaakya ka Hindi translation pradaan karein:,Conjecture,अटकलबाजी
Translate the following sentence to Hindi:,Accuracy,यथार्थता
Please provide the Hindi translation for the following sentence:,Precision,परिशुद्धता
How would you say this in Hindi?,Elliptical,दीर्घवृत्तीय
Convert the given sentence into Hindi:,Heliocentric,सूर्य-केन्द्रीय
What is the Hindi equivalent of this sentence?,Planetary,ग्रहीय
Translate this sentence into Hindi:,Orbit,कक्षा
Provide the Hindi version of the following:,Scattering,प्रकीर्णन
How do you translate this sentence to Hindi?,Interplay,पारस्परिक क्रिया
Rewrite the following in Hindi:,Astronomical,खगोलीय
Hindi translation of this sentence is required:,Radioactive,"विघटनाभिक, रेडियोऐक्टिव"
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Nucleus,नाभिक
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Nuclear fusion,नाभिकीय संलयन
Is vaakya ko Hindi mein kaise kahenge?,Nuclear fission,नाभिकीय विखंडन
Diya gaya vaakya Hindi mein badlein:,Chain reaction,शृंखला अभिक्रिया
Is vaakya ka Hindi samanarth kya hai?,Binding energy,बंधन ऊर्जा
Is vaakya ko Hindi mein anuvaad karein:,Annihilation,विलोपन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Classical Physics,चिरसम्मत भौतिकी
Is vaakya ko Hindi mein kaise translate karenge?,Equilibrium,"संतुलन, साम्यावस्था"
Neeche likha gaya vaakya Hindi mein likhein:,Electrodynamics,"वैद्युतगतिकी, विद्युत्-गतिकी"
Is vaakya ka Hindi translation pradaan karein:,Optics,प्रकाशिकी
Translate the following sentence to Hindi:,Thermodynamics,ऊष्मागतिकी
Please provide the Hindi translation for the following sentence:,Magnetic field,चुंबकीय क्षेत्र
How would you say this in Hindi?,System,निकाय
Convert the given sentence into Hindi:,Ionosphere,आयनमंडल
What is the Hindi equivalent of this sentence?,Efficiency,दक्षता
Translate this sentence into Hindi:,Range,परास
Provide the Hindi version of the following:,Rigid body,दृढ़ पिंड
How do you translate this sentence to Hindi?,Current carrying conductor,विद्युत्वाही चालक
Rewrite the following in Hindi:,Elementary particles,मूल कण
Hindi translation of this sentence is required:,Air resistance,वायु प्रतिरोध
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Evacuated,निर्वातित
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Free fall,मुक्त पतन
Is vaakya ko Hindi mein kaise kahenge?,Galaxy,आकाशगंगा
Diya gaya vaakya Hindi mein badlein:,Universe,विश्व
Is vaakya ka Hindi samanarth kya hai?,Physical quantity,भौतिक राशि
