Provide the Hindi translation of:,Muiriel is 20 now.,म्यूरियल अब बीस साल की हो गई है।
Translate this English sentence into Hindi:,Muiriel is 20 now.,म्यूरियल अब बीस साल की है।
Translate the following to Hindi:,Education in this world disappoints me.,मैं इस दुनिया में शिक्षा पर बहुत निराश हूँ।
How do you say this in Hindi?,That won't happen.,वैसा नहीं होगा।
Translate this English sentence into Hindi:,I miss you.,मुझें तुम्हारी याद आ रही है।
Provide the Hindi translation of:,I miss you.,मुझें आपकी याद आ रही है।
Translate this English sentence into Hindi:,You should sleep.,तुम्हें सोना चाहिए।
Translate this English sentence into Hindi:,You should sleep.,आपको सोना चाहिए।
Translate the following to Hindi:,I never liked biology.,मुझे जीव विज्ञान कभी भी पसंद नहीं था।
Convert this sentence into Hindi:,No I'm not; you are!,"मैं नहीं हूँ, तुम हो!"
Translate this English sentence into Hindi:,That's MY line!,वह तो मेरी लाईन है!
Translate this English sentence into Hindi:,Are you sure?,पक्का?
Convert this sentence into Hindi:,Hurry up.,जल्दी करो!
Translate the following to Hindi:,It doesn't surprise me.,इससे मुझें आश्चर्य नहीं होता।
Translate the following to Hindi:,It doesn't surprise me.,इससे मुझें ताज्जुब नहीं होता।
Translate this English sentence into Hindi:,For some reason I feel more alive at night.,पता नहीं क्यों मुझे रात में ज़्यादा ज़िन्दा महसूस होता है।
What is the Hindi translation of this sentence?,I'm so fat.,मैं कितना मोटा हूं।
Convert this sentence into Hindi:,I'm so fat.,मैं कितनी मोटी हूं।
Translate this English sentence into Hindi:,That's because you're a girl.,इसलिए क्योंकि तुम लड़की हो।
Translate the following to Hindi:,I didn't like it.,मुझे अच्छा नहीं लगा।
Convert this sentence into Hindi:,I didn't like it.,मुझे पसंद नहीं आया।
Convert this sentence into Hindi:,You can do it.,तुम कर सकते हो।
How do you say this in Hindi?,You can do it.,तुम कर सकती हो।
How do you say this in Hindi?,That wasn't my intention.,मेरा वह इरादा नहीं था।
Provide the Hindi translation of:,It seems interesting to me.,मुझे बहुत मज़ेदार लगती है!
Translate this English sentence into Hindi:,It seems interesting to me.,मुझे बहुत दिलचस्प लगती है!
What is the Hindi translation of this sentence?,What did you answer?,तुमने क्या जवाब दिया?
Translate the following to Hindi:,What did you answer?,तुम ने क्या जवाब दिया?
What is the Hindi translation of this sentence?,What did you answer?,आप ने क्या जवाब दिया?
Convert this sentence into Hindi:,Where is the problem?,मुश्किल क्या है?
Provide the Hindi translation of:,Where is the problem?,मुश्किल कहाँ है?
Convert this sentence into Hindi:,I love you.,मैं तुमसे प्यार करती हूँ।
Translate the following to Hindi:,I love you.,मैं तुमसे प्यार करता हूँ।
Provide the Hindi translation of:,I love you.,मैं आपसे प्यार करता हूँ।
Translate this English sentence into Hindi:,I love you.,मैं आपसे प्यार करती हूँ।
Translate the following to Hindi:,I love you.,मुझे तुमसे प्यार है।
Convert this sentence into Hindi:,I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
Provide the Hindi translation of:,Bearing can be unbearable.,बर्दाश्त की भी हद होती है।
How do you say this in Hindi?,"Tomorrow, he will land on the moon.",कल वह चाँद पर उतरेगा।
How do you say this in Hindi?,"When will you be back? ""It all depends on the weather.""","कब वापस आओगे? ""यह तो मौसम देख कर पता चलेगा।"""
Convert this sentence into Hindi:,What's the matter? asked the little white rabbit.,क्या बात है? छोटे सफ़ेद खरगोश ने पूछा।
Provide the Hindi translation of:,Allen is a poet.,ऐलन कवि है।
Translate the following to Hindi:,Allen is a poet.,अॅलेन कवी है।
